FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2019 ORDINANCE (AMOUNT $)
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,360,REPAIR PARTS AND MATERIAL,1554000.00
LOCAL,0100,CORPORATE FUND,67,BUILDINGS,2005,BUILDINGS,931,TORT/NON-TORT JUDGMENT,300000.00
LOCAL,0300,VEHICLE FUND,38,FFM,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SANITATION SUPPLIES,38426.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,190,TELEPHONE - NON-CENTREX BILLINGS,6447.00
LOCAL,0200,WATER FUND,88,DWM,2015,ENGINEERING SERVICES,340,MATERIAL AND SUPPLIES,30000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,700,CONTINGENCIES,2000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,9481,REIMBURSEMENT - DSS,35000.00
GRANTS,0Z12,ART WORKS,23,DCASE,2865,Art Works,140,PROFESSIONAL AND TECHNICAL SERVICES,35000.00
GRANTS,0833,MOPD PRIVATE FUNDED,48,MOPD,2800,AMPLIFIED PHONES PROGRAM,340,MATERIAL AND SUPPLIES,8100.00
LOCAL,0B39,HUMAN CAPITAL INNOVATION,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,9259,SUMMER PROGRAMS,500000.00
LOCAL,0300,VEHICLE FUND,81,DSS,2020,BUREAU OF SANITATION,5,SALARIES AND WAGES - ON PAYROLL,5160237.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,CPD,1005,Chicago Police Department,22,DUTY AVAILABILITY,180000.00
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,190,TELEPHONE - NON-CENTREX BILLINGS,2050.00
LOCAL,0346,LIBRARY FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,3141000.00
LOCAL,0610,MIDWAY AIRPORT FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPLIES,100.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2125,ENGINEERING,140,PROFESSIONAL AND TECHNICAL SERVICES,6578623.00
LOCAL,0200,WATER FUND,88,DWM,2020,WATER SUPPLY,314,FUEL OIL,600000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,15,SCHEDULE SALARY ADJUSTMENTS,39049.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,44,FRINGE BENEFITS,913224.00
LOCAL,0100,CORPORATE FUND,5,OBM,2005,OBM,350,STATIONERY AND OFFICE SUPPLIES,5400.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,446,PURCHASE - DATA HARDWARE,1640.00
LOCAL,0510,BOND REDEMPTION AND INTEREST,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,155144900.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,350,STATIONERY AND OFFICE SUPPLIES,15000.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,168,EDUCATION DEVELOPMENT,5350.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,159,LEASE/PURCHASE EQUIPMENT,25451.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,9438,REIMBURSEMENT - 2FM,300.00
LOCAL,0200,WATER FUND,88,DWM,2015,ENGINEERING SERVICES,12,CONTRACT WAGE - PREVAILING RATE,37045.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,11181466.00
LOCAL,0200,WATER FUND,33,DHR,2005,HUMAN RESOURCES,5,SALARIES AND WAGES - ON PAYROLL,281874.00
GRANTS,0Y11,EMERGENCY SOLUTIONS,50,DFSS,2944,Emergency Solutions,5,SALARIES AND WAGES - ON PAYROLL,321646.00
LOCAL,0100,CORPORATE FUND,21,HOUSING,2010,Department of Housing,15,SCHEDULE SALARY ADJUSTMENTS,10755.00
LOCAL,0100,CORPORATE FUND,48,MOPD,2005,MOPD,5,SALARIES AND WAGES - ON PAYROLL,1264115.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,162,REPAIR/MAINT EQUIPMENT,575910.00
LOCAL,0300,VEHICLE FUND,31,LAW,2005,LAW,245,REIMBURSEMENT TO TRAVELERS,1659.00
CDBG,0J45,CDBG,50,DFSS,2530,Domestic Violence Services,15,SCHEDULE SALARY ADJUSTMENTS,3359.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,92500.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,423,COMMUNICATION DEVICES,14984.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,350,STATIONERY AND OFFICE SUPPLIES,161300.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,166,DUES  SUBSC & MEM,1087.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,338,LICENSE STICKER TAG AND PLATES,76608.00
GRANTS,0Y25,SENIOR MEDICARE PATROL,50,DFSS,2945,Senior Medicare Patrol,140,PROFESSIONAL AND TECHNICAL SERVICES,20000.00
LOCAL,0200,WATER FUND,88,DWM,2025,OPERATIONS AND DISTRIBUTION,162,REPAIR/MAINT EQUIPMENT,100000.00
GRANTS,0U38,WOMEN  INFANTS AND CHILDREN NUTRITION,41,HEALTH,2808,WIC NUTRITION,157,RENTAL EQUIPMENT AND SERVICES,47750.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,140,PROFESSIONAL AND TECHNICAL SERVICES,66000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,17658.00
GRANTS,0Z64,TOBACCO ENFORCEMENT GRANT,70,BACP,2801,TOBACCO ENFORCEMENT GRANT,6,SALARY PROVISION,333000.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,7545.00
CDBG,0J45,CDBG,48,MOPD,2510,INDEPENDENT LIVING FOR DISABLE,135,DELEGATE AGENCIES,650000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLOYMENT INSURANCE CLAIM,483710.00
GRANTS,0U61,LOCAL HEALTH PROTECTION,41,HEALTH,2730,Local Health Protection,140,PROFESSIONAL AND TECHNICAL SERVICES,1208321.00
LOCAL,0100,CORPORATE FUND,81,DSS,2045,BUREAU OF STREET OPERATIONS,362,PAINTS AND PAINTING SUPPLIES,270000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,376667.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,64147.00
GRANTS,0T89,MEDICARE IMPROVEMENTS ACT,50,DFSS,2937,MEDICARE IMPROVEMENTS,6,SALARY PROVISION,91150.00
LOCAL,0100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE - NON-CENTREX BILLINGS,25190.00
CDBG,0J45,CDBG,27,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,324895.00
GRANTS,0W82,HOME INVESTMENT PARTNERSHIP,21,HOUSING,2833,Home Investment Partnership,15,SCHEDULE SALARY ADJUSTMENTS,4614.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,143,COURT REPORTING,437000.00
LOCAL,0100,CORPORATE FUND,38,FFM,2140,FLEET OPERATIONS,340,MATERIAL AND SUPPLIES,48912.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,4850000.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,11,CONTRACT WAGE - SALARY,217359.00
LOCAL,0740,O HARE REVENUE FUND,31,LAW,2005,LAW,130,POSTAGE,806.00
GRANTS,0J87,CHA HOME MODIFICATION,48,MOPD,2818,CHA HOME MODIFICATION,140,PROFESSIONAL AND TECHNICAL SERVICES,41000.00
LOCAL,0314,SEWER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TO TRAVELERS,558.00
LOCAL,0100,CORPORATE FUND,77,LICENSE APPEAL,2005,LICENSE APPEAL COMMISSION,157,RENTAL EQUIPMENT AND SERVICES,884.00
CDBG,0J45,CDBG,21,HOUSING,2561,Repairs for Seniors,15,SCHEDULE SALARY ADJUSTMENTS,1548.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9775,TRANSFER FOR SERVICES - CFD,165000.00
LOCAL,0200,WATER FUND,88,DWM,2015,ENGINEERING SERVICES,169,TECHNICAL MEETING COSTS,10000.00
LOCAL,0610,MIDWAY AIRPORT FUND,28,TREASURER,2005,CITY TREASURER,138,IT MAINTENANCE,50000.00
GRANTS,0V86,LOCAL LAW ENFORCEMENT CRIME GUN INTEL,57,CPD,280R,Gun Intelligence Integration,140,PROFESSIONAL AND TECHNICAL SERVICES,175000.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,155,RENTAL OF PROPERTY,1106586.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,189,TELEPHONE - NON-CENTREX BILLINGS,13300.00
GRANTS,0U40,INTEGRATED HIV SURVEILLANCE AND PREV.,41,HEALTH,280Y,HIV Surveillance and Preventn,5,SALARIES AND WAGES - ON PAYROLL,3117463.00
LOCAL,0200,WATER FUND,67,BUILDINGS,2005,BUILDINGS,12,CONTRACT WAGE - PREVAILING RATE,38170.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE - PREVAILING RATE,91244.00
GRANTS,0U52,BUILDING EPIDEMIOLOGY AND HEALTH IT CAPA,41,HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,801,INDIRECT COSTS,195826.00
LOCAL,0100,CORPORATE FUND,45,HUMAN RELATIONS,2005,HUMAN RELATIONS,15,SCHEDULE SALARY ADJUSTMENTS,1404.00
LOCAL,0610,MIDWAY AIRPORT FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,6283000.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,350,STATIONERY AND OFFICE SUPPLIES,55000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,161,MAINT FACILITIES,36943900.00
CDBG,0J45,CDBG,21,HOUSING,2559,Housing Services and Assist,135,DELEGATE AGENCIES,593875.00
CDBG,0J45,CDBG,50,DFSS,2501,PLANNING AND ADMINISTRATION,44,FRINGE BENEFITS,119742.00
LOCAL,0B21,TIF ADMINISTRATION,28,TREASURER,2005,CITY TREASURER,140,PROFESSIONAL AND TECHNICAL SERVICES,25120.00
GRANTS,0U23,IMMUNIZATION /VACCINES FOR CHILDREN,41,HEALTH,2820,IMMUNIZATIONS,245,REIMBURSEMENT TO TRAVELERS,11928.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,7935111.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,15,SCHEDULE SALARY ADJUSTMENTS,27093.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9611,REIMB - INDIRECT COSTS TO CORPORATE,31538000.00
LOCAL,0610,MIDWAY AIRPORT FUND,59,CFD,2005,Chicago Fire Department,140,PROFESSIONAL AND TECHNICAL SERVICES,45000.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,15,SCHEDULE SALARY ADJUSTMENTS,46632.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,340,MATERIAL AND SUPPLIES,85000.00
LOCAL,0100,CORPORATE FUND,30,ADMINISTRATIVE HEARINGS,2005,ADMINISTRATIVE HEARINGS,197,TELEPHONE - MAINTENANCE,1180.00
GRANTS,0Y23,AREA PLAN ON AGING,50,DFSS,2903,AREA PLAN ON AGING - STATE,140,PROFESSIONAL AND TECHNICAL SERVICES,2189341.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2140,FLEET OPERATIONS,12,CONTRACT WAGE - PREVAILING RATE,74501.00
LOCAL,0100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,140,PROFESSIONAL AND TECHNICAL SERVICES,101976.00
GRANTS,0Y42,SENIOR COMPANION PROJECT - MATCH,50,DFSS,2868,SENIOR COMPANION PJT - ACTION,50,STIPENDS,207000.00
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,15,SCHEDULE SALARY ADJUSTMENTS,1806.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,138,IT MAINTENANCE,6404000.00
LOCAL,0100,CORPORATE FUND,70,BACP,2005,BACP,169,TECHNICAL MEETING COSTS,4118.00
LOCAL,0610,MIDWAY AIRPORT FUND,35,DPS,2005,PROCUREMENT SERVICES,350,STATIONERY AND OFFICE SUPPLIES,200.00
GRANTS,0Z66,COPS HIRING PROGRAM,57,CPD,2983,COPS HIRING PROGRAM,6,SALARY PROVISION,1616072.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,135,DELEGATE AGENCIES,87222000.00
GRANTS,0W82,HOME INVESTMENT PARTNERSHIP,21,HOUSING,2833,Home Investment Partnership,9103,REHABILITATION LOANS GT,18020229.00
CDBG,0J45,CDBG,50,DFSS,2520,WORKFORCE SERVICES,15,SCHEDULE SALARY ADJUSTMENTS,1404.00
LOCAL,0100,CORPORATE FUND,54,PLANNING AND DEVELOPMENT,2005,Planning and Development,143,COURT REPORTING,64395.00
GRANTS,0W81,ABANDONED RES PROPERTY MUNI RELIEF,21,HOUSING,2834,Abandoned Res. Property Relief,140,PROFESSIONAL AND TECHNICAL SERVICES,2579000.00
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,44,FRINGE BENEFITS,2116807.00
LOCAL,0200,WATER FUND,31,LAW,2005,LAW,166,DUES  SUBSC & MEM,6092.00
GRANTS,0Y12,EMERGENCY AND TRANSITIONAL HOUSING,50,DFSS,2942,Emergency /Transitional Housng,5,SALARIES AND WAGES - ON PAYROLL,176812.00
LOCAL,0610,MIDWAY AIRPORT FUND,57,CPD,1005,Chicago Police Department,88,FURLOUGH / COMP TIME BUY-BACK,75000.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,401,TOOL <= $100 UNIT,40000.00
GRANTS,0H26,RESOURCE CONSERVATION AND RECOVERY ACT D,41,HEALTH,2721,RESOURCE CONSERVATION,140,PROFESSIONAL AND TECHNICAL SERVICES,191395.00
LOCAL,0525,EMERGENCY COMMUN BD,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,4378000.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,9805,FOR FESTIVAL PRODUCTION,7240253.00
LOCAL,0100,CORPORATE FUND,31,LAW,2005,LAW,270,LOCAL TRANSPORTATION,35982.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE - NON-CENTREX BILLINGS,38160.00
GRANTS,0T74,AREA PLAN ON AGING - STATE,50,DFSS,2903,AREA PLAN ON AGING - STATE,140,PROFESSIONAL AND TECHNICAL SERVICES,1627000.00
LOCAL,0100,CORPORATE FUND,81,DSS,2006,ADMINISTRATIVE SERV DIVISION,159,LEASE/PURCHASE EQUIPMENT,24480.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2155,IN-HOUSE CONSTRUCTION,316,GAS - BOTTLED AND PROPANE,16000.00
GRANTS,0N25,COMMUNITY SERVICES BLOCK GRANT,50,DFSS,2805,CSBG,140,PROFESSIONAL AND TECHNICAL SERVICES,2662000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000.00
LOCAL,0314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,189236.00
LOCAL,0100,CORPORATE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,446,PURCHASE - DATA HARDWARE,3600.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,4596401.00
LOCAL,0200,WATER FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,4967.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,140,PROFESSIONAL AND TECHNICAL SERVICES,14317419.00
LOCAL,0610,MIDWAY AIRPORT FUND,85,AVIATION,2010,CHICAGO MIDWAY AIRPORT,319,CLOTHING,81800.00
LOCAL,0740,O HARE REVENUE FUND,38,FFM,2140,FLEET OPERATIONS,149,SOFTWARE MAINTENANCE AND LICENSING,46244.00
GRANTS,0Y47,CHILD CARE SERVICES,50,DFSS,2943,Child Care Services,801,INDIRECT COSTS,60211.00
GRANTS,0Y35,EARLY CHILDHOOD BLOCK GRANT,50,DFSS,2962,Early Childhood Block Grant,5,SALARIES AND WAGES - ON PAYROLL,1347590.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,159,LEASE/PURCHASE EQUIPMENT,8600.00
LOCAL,0610,MIDWAY AIRPORT FUND,58,OEMC,2705,OEMC,319,CLOTHING,56700.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,270,LOCAL TRANSPORTATION,6500.00
LOCAL,0B21,TIF ADMINISTRATION,99,FINANCE GENERAL,2005,FINANCE GENERAL,169,TECHNICAL MEETING COSTS,10200.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,360,REPAIR PARTS AND MATERIAL,568494.00
LOCAL,0100,CORPORATE FUND,59,CFD,2005,Chicago Fire Department,88,FURLOUGH / COMP TIME BUY-BACK,7850000.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,12,CONTRACT WAGE - PREVAILING RATE,977767.00
LOCAL,0100,CORPORATE FUND,33,DHR,2005,HUMAN RESOURCES,50,STIPENDS,21000.00
LOCAL,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6569719.00
GRANTS,0V73,FIRE PREVENTION AND SAFETY,59,CFD,2815,FIRE PREVENTION AND SAFETY,140,PROFESSIONAL AND TECHNICAL SERVICES,500000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2150,ELECTRICAL OPERATIONS,197,TELEPHONE - MAINTENANCE,162.00
GRANTS,0Y21,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,9651,REIMB - INDIRECT COSTS,952459.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,135,DELEGATE AGENCIES,4855000.00
LOCAL,0300,VEHICLE FUND,38,FFM,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHICLE DIESEL FUEL,6067298.00
LOCAL,0681,MUNICIPAL ANNUNITY AND BENEFIT,99,FINANCE GENERAL,2005,FINANCE GENERAL,976,EMPLOYEE ANNUITY AND BENEFIT,421000000.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,348,BOOKS AND RELATED MATERIAL,15907.00
GRANTS,0T73,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,135,DELEGATE AGENCIES,3693000.00
GRANTS,0Y16,FOSTER GRANDPARENTS,50,DFSS,2815,FOSTER GRANDPARENTS,229,TRANSPORTATION AND EXPENSE ALLOWANCE,56236.00
LOCAL,0B21,TIF ADMINISTRATION,70,BACP,2005,BACP,9470,REIMBURSEMENT - BACP,375000.00
LOCAL,0300,VEHICLE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,421,MACHINERY AND EQUIPMENT,1177575.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,147,SURVEYS,15000.00
CDBG,0J45,CDBG,21,HOUSING,2557,Housing Preservation,9126,HEAT RECEIVERSHIP PGM,1200000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2105,COMMISSIONER'S OFFICE,159,LEASE/PURCHASE EQUIPMENT,15319.00
LOCAL,0314,SEWER FUND,31,LAW,2005,LAW,130,POSTAGE,644.00
GRANTS,0819,ACCESS CHICAGO SUP,48,MOPD,2802,ACCESS CHICAGO SUPPORT,270,LOCAL TRANSPORTATION,4000.00
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,28467.00
LOCAL,0100,CORPORATE FUND,39,ELECTIONS,2005,ELECTION AND ADMIN DIVISION,166,DUES  SUBSC & MEM,5841.00
LOCAL,0200,WATER FUND,88,DWM,2010,ADMINISTRATIVE SUPPORT,20,OVERTIME,800000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,16722611.00
LOCAL,0100,CORPORATE FUND,50,DFSS,2005,FAMILY AND SUPPORT SERVICES,245,REIMBURSEMENT TO TRAVELERS,4000.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,157,RENTAL EQUIPMENT AND SERVICES,370.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,190,TELEPHONE - NON-CENTREX BILLINGS,4073.00
LOCAL,0300,VEHICLE FUND,84,CDOT,2135,INFRASTRUCTURE MANAGEMENT,229,TRANSPORTATION AND EXPENSE ALLOWANCE,80000.00
LOCAL,0100,CORPORATE FUND,84,CDOT,2130,Traffic Safety,350,STATIONERY AND OFFICE SUPPLIES,2000.00
GRANTS,0U26,MATERNAL AND CHILD HEALTH,41,HEALTH,2910,MATERNAL AND CHILD HEALTH,44,FRINGE BENEFITS,1117133.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,5,SALARIES AND WAGES - ON PAYROLL,9475174.00
GRANTS,0Z77,TECHNOLOGY INNOVATION FOR PUBLIC SAFETY,57,CPD,2811,TECHNOLOGY OPPORTUNITIES,6,SALARY PROVISION,104322.00
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,DCASE,2015,CULTURAL AFFAIRS SPECIAL EVENT,9219,IMPLEMENTATION OF CULTURAL PLAN,1250000.00
GRANTS,0V88,PORT SECURITY GRANT,57,CPD,280N,Port Security,140,PROFESSIONAL AND TECHNICAL SERVICES,261000.00
CDBG,0J45,CDBG,21,HOUSING,2562,Neighborhood Lending,5,SALARIES AND WAGES - ON PAYROLL,102085.00
LOCAL,0353,EMERGENCY COMMUN FD,58,OEMC,2705,OEMC,138,IT MAINTENANCE,17041905.00
GRANTS,0T73,AREA PLAN ON AGING - OLDER AMERICANS ACT,50,DFSS,2904,AREA PLAN ON AGING - FEDERAL,197,TELEPHONE - MAINTENANCE,2573.00
LOCAL,0300,VEHICLE FUND,81,DSS,2070,BUREAU OF TRAFFIC SERVICES,181,MOBILE COMMUNICATION SERVICES,235000.00
GRANTS,0X97,ADULT VIRAL HEPATITIS,41,HEALTH,2979,ADULT VIRAL HEPATITIS,140,PROFESSIONAL AND TECHNICAL SERVICES,19021.00
LOCAL,0100,CORPORATE FUND,58,OEMC,2705,OEMC,154,RENTAL-DATA HARDWARE EQ,81600.00
LOCAL,0100,CORPORATE FUND,57,CPD,1005,Chicago Police Department,430,LIVESTOCK,36600.00
LOCAL,0740,O HARE REVENUE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,987359.00
LOCAL,0740,O HARE REVENUE FUND,85,AVIATION,2015,CHICAGO-O'HARE INT'L AIRPORT,181,MOBILE COMMUNICATION SERVICES,190000.00
GRANTS,0Y34,HEAD START,50,DFSS,2860,HEAD START,197,TELEPHONE - MAINTENANCE,4563.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,152,ADVERTISING,10500.00
GRANTS,0U01,C3 CLINICAL AND TRANSLATION RESEARCH,41,HEALTH,280R,C3 Clinical and Translation,5,SALARIES AND WAGES - ON PAYROLL,67800.00
CDBG,0J45,CDBG,41,HEALTH,2555,LEAD POISONING PREVENTION,15,SCHEDULE SALARY ADJUSTMENTS,11630.00
LOCAL,0314,SEWER FUND,28,TREASURER,2005,CITY TREASURER,5,SALARIES AND WAGES - ON PAYROLL,145259.00
LOCAL,0100,CORPORATE FUND,27,FINANCE,2020,REVENUE SERVICES AND OPERATION,178,FREIGHT AND EXPRESS CHARGES,1750.00
CDBG,0J45,CDBG,5,OBM,2505,ADMINISTRATION AND MONITORING,9157,REPAYMENT SECTION 108,979743.00
LOCAL,0610,MIDWAY AIRPORT FUND,31,LAW,2005,LAW,270,LOCAL TRANSPORTATION,1034.00
GRANTS,0V41,COASTAL MANAGEMENT GRANT,54,PLANNING AND DEVELOPMENT,2885,Coastal Management Grant,140,PROFESSIONAL AND TECHNICAL SERVICES,60000.00
LOCAL,0740,O HARE REVENUE FUND,35,DPS,2005,PROCUREMENT SERVICES,270,LOCAL TRANSPORTATION,300.00
LOCAL,0100,CORPORATE FUND,81,DSS,2025,BUREAU OF RODENT CONTROL,12,CONTRACT WAGE - PREVAILING RATE,73082.00
LOCAL,0100,CORPORATE FUND,41,HEALTH,1005,DEPARTMENT OF PUBLIC HEALTH,15,SCHEDULE SALARY ADJUSTMENTS,85432.00
LOCAL,0610,MIDWAY AIRPORT FUND,38,FFM,2140,FLEET OPERATIONS,450,VEHICLES,380000.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,157,RENTAL EQUIPMENT AND SERVICES,2400.00
LOCAL,0100,CORPORATE FUND,73,ANIMAL CARE / CONTROL,2005,ANIMAL CARE AND CONTROL,245,REIMBURSEMENT TO TRAVELERS,600.00
